Number	Arabic_Name	Arabic_Variants	Latin_Picatrix	Latin_Agrippa	Zodiac_Start	Sign	Suffumigation_Herb	Metal_Material	Spirit_Name	Talisman_Image	Effect_Purpose	Body_Part_Tradition	Stone_Tradition
1	al-Sharatain (al-Nath)	al-Sharatan, al-Nath, Alnath, Alvach	Alvach	Alnath	0 Aries	Aries	Liquid storax (Styrax liquidus)	Iron ring	Geriz	Black man with wrapped hair, spear in right hand	Discord, journeys, medicine, destruction	Head, brain	Diamond, Sardius
2	al-Butain	al-Butayn, Albotayn, Albochan, Allothaim, Alkatayn	Alkatayn	Allothaim / Albochan	12d51m Aries	Aries	Lignum aloes (Aquilaria)	White wax + mastic	Enedil	Crowned king	Removal of anger, reconciliation, finding treasure, strengthen prison	Neck, throat	Emerald, Ruby
3	al-Thurayya	al-Turaija, Azoraye, Acoraxa, Achaomazon, Athoray	Acoraxa	Achaomazon / Athoray	25d43m Aries	Aries-Taurus	Musk, camphor, mastic, aromatic oils	Silver ring (square table)	Annuncia	Seated woman, right hand raised over head	All good things, sailors, alchemy, fire-work, love	Shoulder, arms	Topaz, Crystal
4	al-Dabaran	al-Dabaran, Aldebaram, Aldelamen, Aldebaran	Aldebaran	Aldebaram / Aldelamen	8d34m Taurus	Taurus	Red myrrh (Commiphora) + storax	Red wax	Assarez	Knight on horse holding serpent	Enmity, destruction of buildings/fountains, discord, treasure	Eyes	Carbuncle, Ruby
5	al-Haq'a	al-Haqa, Almites, Almizen, Alchatay, Albachay	Almites	Alchatay / Albachay	21d26m Taurus	Taurus-Gemini	Sandalwood (Santalum album)	Silver	Cabil (Assarez)	Head without body (crowned head)	Favour of kings, teaching arts, safe travel, return from journey	Forehead, eyebrows	Turquoise, Agate
6	al-Han'a	al-Hana, Athaya, Achaya, Alhanna	Athaya	Alhanna / Alchaya	4d17m Gemini	Gemini	Amber + lignum aloes	White wax	Nedeyrahe	Two embracing images	Love between two, hunting, siege, destroy crops/medicines	Arms, hands	Chalcedony, Agate
7	al-Dhira'	al-Dira, Aldirah, Aldimiach, Alarzach	Aldirah	Aldimiach / Alarzach	17d9m Gemini	Gemini	Sweet-smelling things (bona odora)	Silver seal	Selehe (Siely)	Man clothed in robes, hands to heaven, praying	All good things, trade, friendship, drive flies	Shoulders	Quartz, Chrysolite
8	al-Nathra	al-Natra, Nathra, Annathra, Alnaza, Anatrachya	Nathra	Alnaza / Anatrachya	0 Cancer	Cancer	Sulfur (Sulphur)	Tin	Annediex	Eagle with face of man	Victory in war, love, friendship, drive mice, strengthen prison	Lungs, chest	Sapphire, Selenite
9	al-Tarf	al-Tarfa, Atraf, Atarfa, Archaam, Arcaph	Atraf	Archaam / Arcaph	12d51m Cancer	Cancer	Pine resin (Resina pini)	Lead	Raubel	Eunuch holding hands over eyes	Infirmity, destroy harvest, evil to travellers, discord	Heart, stomach	Beryl, Chalcedony
10	al-Jabhah	al-Jabha, Algebhal, Algebha, Algelioche, Albgebh	Algebhal	Algelioche / Albgebh	25d43m Cancer	Cancer-Leo	Amber (Ambra)	Gold or brass	Aredafir	Head of lion	Cure infirmities, ease childbirth, love, destroy enemies	Stomach, abdomen	Cornelian, Diamond
11	al-Zubra	al-Zubra, Azobra, Ardaf	Azobra	Azobra / Ardaf	8d34m Leo	Leo	Good odours + saffron	Gold plate	Necol	Man riding lion, lance in right, left holds lion ear	Fear/reverence, release captives, strengthen buildings, wealth	Diaphragm, flanks	Jasper, Crystal
12	al-Sarfa	al-Sarfa, Acarfa, Azarpha, Alzarpha	Acarfa	Alzarpha / Azarpha	25d3m Leo	Leo-Virgo	Lion hair + asafoetida (Asa foetida)	Black lead	Abdizu	Dragon fighting man	Separation of lovers, harvest prosperity, hinder seamen	Back, spine	Jasper, Chrysolite
13	al-'Awwa	al-Aswa, Alahue, Alhaire	Alahue	Alhaire	4d17m Virgo	Virgo	Amber + lignum aloes	Red wax (man) + white wax (woman)	Azerut	Man & woman images tied face to face	Love between man/woman, liberation, trade, cure impotence	Belly, intestines	Emerald, Beryl
14	al-Simak	al-Simak, Alcimech, Azimeth, Alhumech, Alcheymech, Achureth, Arimet	Alcimech	Achureth / Arimet / Azimeth / Alhumech / Alcheymech	17d9m Virgo	Virgo	Dog hair + cat hair	Red wax (copper)	Erdegel	Dog biting own tail	Separation of lovers, love, cure sick, hinder land travel	Lower belly	Sapphire, Agate
15	al-Ghafr	al-Gafr, Algafra, Agrapha, Algarpha	Algafra	Agrapha / Algarpha	0 Libra	Libra	Frankincense (Olibanum) + nutmeg (Nux moschata)	Ink (paper)	Achalich	Seated man reading scrolls	Friendship, goodwill, treasure, divorce, hinder travel	Kidneys, loins	Coral, Jasper
16	al-Zubana	al-Zubana, Acubene, Azubene, Ahubene	Acubene	Azubene / Ahubene	12d51m Libra	Libra	Fine/sweet odours (bona species)	Silver plate	Azeruch	Man seated on throne holding scales	Selling & buying, hinder travel/wedlock, free captives	Bladder, genitals	Topaz, Cornelian
17	al-Iklil	al-Iklil, Alichil, Alchil	Alichil	Alchil	25d43m Libra	Libra-Scorpio	Monkey hair + mouse hair	Iron seal	Adrieb	Monkey with arms over shoulders	Protect from thieves, love durable, buildings strong, help sailors	Pubic region	Coral, Magnetite
18	al-Qalb	al-Qalb, Alcakl, Alcab, Alchas, Altob	Alcakl	Alchas / Altob	8d34m Scorpio	Scorpio	Stag horn (Cornu cervi)	Wax (copper)	Egribel	Adder/snake holding tail above head	Cure fevers/belly illness, repel serpents, victory, discord	Genitals, anus	Ruby, Garnet
19	al-Shawla	al-Shaula, Exaula, Allatha, Achala, Hycula, Axala	Exaula	Allatha / Achala / Hycula / Axala	21d26m Scorpio	Scorpio-Sagittarius	Liquid storax (Styrax liquidus)	Bronze (heme/copper)	Annucel	Woman holding hands before face	Bring menses, ease childbirth, siege cities, capture fugitives	Thighs	Amethyst, Topaz
20	al-Na'a'im	al-Naayim, Nahaym, Alnaym, Abnahaya	Nahaym	Abnahaya	4d17m Sagittarius	Sagittarius	Wolf hair	Tin plate	Queyhuc	Man-horse with bow (Sagittarius figure)	Taming animals, hunting, strengthen prison, compel man to place	Thighs, buttocks	Chrysolite, Beryl
21	al-Balda	al-Balda, Elbelda, Albelda, Abeda, Albeldach	Elbelda	Abeda / Albeldach	17d9m Sagittarius	Sagittarius	Sulfur (Sulphur) + carob (Ceratonia siliqua)	(unspecified, image material)	Bectue	Man with two faces (front & back)	Destruction, depopulation, harvest, buildings, divorce	Knees	Onyx, Jet
22	Sa'd al-Dhabih	Sadahaca, Acadaldeba, Zodeboluch, Zandeldena, Sadahacha	Acadaldeba	Sadahacha / Zodeboluch / Zandeldena	0 Capricorn	Capricorn	Mercury (Argentum vivum)	Iron ring	Geliel	Man with winged feet wearing helmet	Bind tongues, protect fugitives, cure disease, discord	Shins, legs	Chalcedony, Iron ore
23	Sa'd Bula'	Zaadebola, Zobrach, Caciddebolah, Zabadola	Caciddebolah	Zabadola / Zobrach	12d51m Capricorn	Capricorn	Dog hair	Iron seal	Zequebin	Cat with dog head	Destruction, devastation, divorce, cure sick, join couples	Shins	Lapis lazuli, Iron ore
24	Sa'd al-Su'ud	Sadabath, Chadezoad, Caadachahot, Caadezod, Sadabath	Caadachahot	Sadabath / Chadezoad	25d43m Capricorn	Capricorn-Aquarius	Horn scrapings (of ram)	Horn of ram (or bull)	Abrine	Woman nursing child in arms	Increase herds, goodwill, victory, trade	Ankles	Crystal, Selenite
25	Sa'd al-Ahbiyya	Sadalabra, Sadalachia, Caadaladbia	Caadaladbia	Sadalabra / Sadalachia	8d34m Aquarius	Aquarius	Fig tree flowers (Flores fici)	Fig wood	(unnamed in Picatrix)	Man planting (in Agrippa); talisman for building repair	Separation, building repair, spells, siege, bind members	Ankles, calves	Peridot, Turquoise
26	al-Fargh al-Muqaddam	al-Farg al-muqaddam, Almisdam, Alpharg, Phragal Mocaden, Alfarg Former	Almisdam	Alpharg / Phragal Mocaden	21d25m Aquarius	Aquarius-Pisces	Sweet-smelling substances (odoramenta)	White wax + mastic	Tagriel	Woman washing/combing hair before vessel	Love, friendship, goodwill, union, destroy prisons	Feet, toes	Magnetite, Agate
27	al-Fargh al-Mu'ahhar	al-Farg al-muahhar, Algaafalmuehar, Alcharya, Alhalgalmoad, Alfarg Latter	Algaafalmuehar	Alcharya / Alhalgalmoad	4d17m Pisces	Pisces	Asafoetida (Asa foetida) + liquid storax	Red earth (baked)	Abliemel	Winged man holding perforated dish raised to mouth	Destroy springs/wells, harvest, gain, hinder building, endanger sailors	Feet	Pearl, Moonstone
28	al-Risha'	al-Risha, Arcexe, Albotham, Alchalcy, Arrexe	Arcexe	Albotham / Alchalcy	17d9m Pisces	Pisces	Skin of sea fish	Bronze (heme/copper)	Anuxi	Fish with colored spine	Gather fish, trade, peace between couples, hinder treasure	Feet, soles	Coral, Chrysolite
